,ewma_window,T_init,imbalance_type,bars_length
0,50,30,volume,14
1,50,30,dollar,21
2,50,40,volume,14
3,50,40,dollar,10
4,50,50,volume,12
5,50,50,dollar,12
6,50,60,volume,10
7,50,60,dollar,14
8,51,30,volume,13
9,51,30,dollar,15
10,51,40,volume,17
11,51,40,dollar,15
12,51,50,volume,8
13,51,50,dollar,10
14,51,60,volume,11
15,51,60,dollar,10
16,52,30,volume,14
17,52,30,dollar,12
18,52,40,volume,16
19,52,40,dollar,11
20,52,50,volume,11
21,52,50,dollar,10
22,52,60,volume,9
23,52,60,dollar,11
24,53,30,volume,14
25,53,30,dollar,18
26,53,40,volume,15
27,53,40,dollar,15
28,53,50,volume,10
29,53,50,dollar,9
30,53,60,volume,11
31,53,60,dollar,10
32,54,30,volume,18
33,54,30,dollar,15
34,54,40,volume,17
35,54,40,dollar,13
36,54,50,volume,10
37,54,50,dollar,16
38,54,60,volume,12
39,54,60,dollar,9
40,55,30,volume,16
41,55,30,dollar,17
42,55,40,volume,16
43,55,40,dollar,13
44,55,50,volume,9
45,55,50,dollar,13
46,55,60,volume,8
47,55,60,dollar,10
48,56,30,volume,21
49,56,30,dollar,16
50,56,40,volume,18
51,56,40,dollar,13
52,56,50,volume,8
53,56,50,dollar,14
54,56,60,volume,10
55,56,60,dollar,10
56,57,30,volume,21
57,57,30,dollar,21
58,57,40,volume,17
59,57,40,dollar,16
60,57,50,volume,13
61,57,50,dollar,13
62,57,60,volume,16
63,57,60,dollar,10
64,58,30,volume,21
65,58,30,dollar,22
66,58,40,volume,22
67,58,40,dollar,12
68,58,50,volume,11
69,58,50,dollar,18
70,58,60,volume,15
71,58,60,dollar,10
72,59,30,volume,19
73,59,30,dollar,24
74,59,40,volume,16
75,59,40,dollar,14
76,59,50,volume,12
77,59,50,dollar,16
78,59,60,volume,13
79,59,60,dollar,12
80,60,30,volume,17
81,60,30,dollar,22
82,60,40,volume,20
83,60,40,dollar,22
84,60,50,volume,10
85,60,50,dollar,15
86,60,60,volume,14
87,60,60,dollar,9
88,61,30,volume,19
89,61,30,dollar,22
90,61,40,volume,15
91,61,40,dollar,19
92,61,50,volume,13
93,61,50,dollar,14
94,61,60,volume,17
95,61,60,dollar,12
96,62,30,volume,24
97,62,30,dollar,22
98,62,40,volume,20
99,62,40,dollar,22
100,62,50,volume,14
101,62,50,dollar,15
102,62,60,volume,15
103,62,60,dollar,14
104,63,30,volume,22
105,63,30,dollar,25
106,63,40,volume,15
107,63,40,dollar,23
108,63,50,volume,12
109,63,50,dollar,15
110,63,60,volume,14
111,63,60,dollar,15
112,64,30,volume,23
113,64,30,dollar,25
114,64,40,volume,17
115,64,40,dollar,26
116,64,50,volume,14
117,64,50,dollar,13
118,64,60,volume,14
119,64,60,dollar,15
120,65,30,volume,23
121,65,30,dollar,21
122,65,40,volume,20
123,65,40,dollar,25
124,65,50,volume,16
125,65,50,dollar,14
126,65,60,volume,13
127,65,60,dollar,13
128,66,30,volume,19
129,66,30,dollar,23
130,66,40,volume,19
131,66,40,dollar,27
