,ewma_window,T_init,imbalance_type,bars_length
0,50,30,volume,24
1,50,30,dollar,30
2,50,40,volume,23
3,50,40,dollar,29
4,50,50,volume,24
5,50,50,dollar,25
6,50,60,volume,20
7,50,60,dollar,17
8,51,30,volume,26
9,51,30,dollar,43
10,51,40,volume,20
11,51,40,dollar,32
12,51,50,volume,23
13,51,50,dollar,28
14,51,60,volume,16
15,51,60,dollar,17
16,52,30,volume,34
17,52,30,dollar,35
18,52,40,volume,23
19,52,40,dollar,31
20,52,50,volume,24
21,52,50,dollar,25
22,52,60,volume,20
23,52,60,dollar,20
24,53,30,volume,32
25,53,30,dollar,32
26,53,40,volume,25
27,53,40,dollar,31
28,53,50,volume,20
29,53,50,dollar,26
30,53,60,volume,23
31,53,60,dollar,21
32,54,30,volume,29
33,54,30,dollar,31
34,54,40,volume,23
35,54,40,dollar,30
36,54,50,volume,22
37,54,50,dollar,25
38,54,60,volume,22
39,54,60,dollar,24
40,55,30,volume,39
41,55,30,dollar,35
42,55,40,volume,23
43,55,40,dollar,29
44,55,50,volume,24
45,55,50,dollar,25
46,55,60,volume,25
47,55,60,dollar,27
48,56,30,volume,36
49,56,30,dollar,35
50,56,40,volume,25
51,56,40,dollar,27
52,56,50,volume,21
53,56,50,dollar,26
54,56,60,volume,20
55,56,60,dollar,23
56,57,30,volume,39
57,57,30,dollar,31
58,57,40,volume,26
59,57,40,dollar,34
60,57,50,volume,24
61,57,50,dollar,28
62,57,60,volume,26
63,57,60,dollar,23
64,58,30,volume,38
65,58,30,dollar,36
66,58,40,volume,23
67,58,40,dollar,29
68,58,50,volume,21
69,58,50,dollar,28
70,58,60,volume,23
71,58,60,dollar,26
72,59,30,volume,36
73,59,30,dollar,39
74,59,40,volume,26
75,59,40,dollar,26
76,59,50,volume,26
77,59,50,dollar,26
78,59,60,volume,31
79,59,60,dollar,26
80,60,30,volume,35
81,60,30,dollar,33
82,60,40,volume,26
83,60,40,dollar,27
84,60,50,volume,28
85,60,50,dollar,34
86,60,60,volume,25
87,60,60,dollar,27
88,61,30,volume,38
89,61,30,dollar,36
90,61,40,volume,31
91,61,40,dollar,39
92,61,50,volume,26
93,61,50,dollar,28
94,61,60,volume,22
95,61,60,dollar,31
96,62,30,volume,34
97,62,30,dollar,33
98,62,40,volume,36
99,62,40,dollar,35
100,62,50,volume,27
101,62,50,dollar,31
102,62,60,volume,25
103,62,60,dollar,27
104,63,30,volume,35
105,63,30,dollar,31
106,63,40,volume,31
107,63,40,dollar,32
108,63,50,volume,27
109,63,50,dollar,30
110,63,60,volume,28
111,63,60,dollar,24
112,64,30,volume,36
113,64,30,dollar,35
114,64,40,volume,34
115,64,40,dollar,33
116,64,50,volume,26
117,64,50,dollar,30
118,64,60,volume,28
119,64,60,dollar,30
120,65,30,volume,46
121,65,30,dollar,35
122,65,40,volume,34
123,65,40,dollar,38
124,65,50,volume,27
125,65,50,dollar,32
126,65,60,volume,24
127,65,60,dollar,29
128,66,30,volume,49
129,66,30,dollar,49
130,66,40,volume,30
131,66,40,dollar,32
132,66,50,volume,30
133,66,50,dollar,33
134,66,60,volume,28
135,66,60,dollar,22
136,67,30,volume,53
137,67,30,dollar,57
138,67,40,volume,37
139,67,40,dollar,37
140,67,50,volume,30
141,67,50,dollar,30
142,67,60,volume,25
143,67,60,dollar,30
144,68,30,volume,62
145,68,30,dollar,45
146,68,40,volume,36
147,68,40,dollar,43
148,68,50,volume,29
149,68,50,dollar,36
150,68,60,volume,27
151,68,60,dollar,27
152,69,30,volume,49
153,69,30,dollar,46
154,69,40,volume,36
155,69,40,dollar,39
156,69,50,volume,24
157,69,50,dollar,33
158,69,60,volume,24
159,69,60,dollar,28
160,70,30,volume,47
161,70,30,dollar,48
162,70,40,volume,35
163,70,40,dollar,34
164,70,50,volume,24
165,70,50,dollar,33
166,70,60,volume,28
167,70,60,dollar,32
168,71,30,volume,45
169,71,30,dollar,41
170,71,40,volume,42
171,71,40,dollar,35
172,71,50,volume,26
173,71,50,dollar,37
174,71,60,volume,29
175,71,60,dollar,32
