#{"t_start": 1724527151.08715, "env_id": "None"}
r,l,t
-0.38782597,84372,1448.655233
0.23103356,84372,3020.600446
-0.09127554,84372,4485.186343
0.028532915,84372,6134.456037
0.33151618,84372,7664.237065
-0.27743024,84372,8951.552119
-0.56616247,84372,10206.075222
-0.32606977,84372,11314.805108
-0.38549787,84372,12349.281916
-0.22190244,84372,13384.424027
0.33011705,84372,14437.647099
-0.14895211,84372,15464.950805
0.043648783,84372,16495.54277
-0.16460735,84372,17529.315056
0.06643413,84372,18562.024755
0.20490108,84372,19612.661991
-0.3020965,84372,20652.516932
